## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	30.181334	10.069584	31	4	0	0.046587	0.009111	0.000052	0.020452	0.012843	0.012712	0.101757	0.969567	0.965696	0.961141	0.953377	0.927923	0.824231	0.578218	0.092149	0.006459	0.003029	0.002219	0.001725	0.001403	0.001148	1.207253	1.371879	1.886333	0.967478	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	88172533
1	3710868
2	2682806
3	2444349
4	2377444
5	2408661
6	2474984
7	2578855
8	2751850
9	2985196
10	3294598
11	3725772
12	4284216
13	5049813
14	6140736
15	7700560
16	9993186
17	13341019
18	18080909
19	24630979
20	33314524
21	44398444
22	57912047
23	73661049
24	91141131
25	109609449
26	127988599
27	145035587
28	159584538
29	170559945
30	177179332
31	178996991
32	176001681
33	168486010
34	157231817
35	143030309
36	126959725
37	110058534
38	93184556
39	77161150
40	62539970
41	49607472
42	38592186
43	29412049
44	22006442
45	16172417
46	11693775
47	8325165
48	5846242
49	4077643
50	2831726
51	1968321
52	1380925
53	987914
54	728123
55	559646
56	451104
57	383000
58	337901
59	308877
60	287504
61	272842
62	259979
63	248840
64	238628
65	228464
66	218141
67	207380
68	196698
69	187063
70	178925
71	170055
72	161528
73	153147
74	144361
75	137322
76	130551
77	124382
78	118568
79	113037
80	108627
81	103699
82	99675
83	95907
84	92831
85	90471
86	87630
87	86727
88	84459
89	82421
90	80713
91	78801
92	78061
93	76392
94	74895
95	73499
96	71336
97	70025
98	68542
99	66630
100	64341
101	61808
102	59389
103	57302
104	55384
105	52901
106	50972
107	49157
108	47491
109	45740
110	44143
111	42479
112	41048
113	39780
114	38536
115	36918
116	35726
117	34525
118	33552
119	32134
120	31428
121	30747
122	30406
123	29421
124	28871
125	28235
126	27654
127	27251
128	26754
129	26674
130	26648
131	26104
132	25690
133	25663
134	25467
135	25329
136	24953
137	24589
138	24564
139	24256
140	24379
141	23864
142	23867
143	23666
144	23746
145	23731
146	23248
147	22919
148	23028
149	22619
150	22596
151	22724
152	22389
153	22051
154	21662
155	21354
156	20784
157	20813
158	20557
159	20009
160	19671
161	19250
162	18726
163	18416
164	18010
165	17431
166	17003
167	16656
168	16177
169	15681
170	15357
171	15006
172	14782
173	14266
174	13736
175	13408
176	13074
177	12888
178	12523
179	12382
180	12038
181	11553
182	11392
183	11005
184	10939
185	10447
186	10275
187	10101
188	9852
189	9646
190	9593
191	9407
192	9171
193	9051
194	8791
195	8689
196	8313
197	8032
198	7923
199	7603
200	7334
201	7249
202	7104
203	6770
204	6692
205	6545
206	6470
207	6139
208	6099
209	5939
210	5922
211	5761
212	5558
213	5371
214	5294
215	5305
216	5233
217	5085
218	4924
219	4897
220	4697
221	4729
222	4562
223	4581
224	4579
225	4486
226	4399
227	4338
228	4264
229	4301
230	4355
231	4146
232	4130
233	4074
234	3968
235	3940
236	3924
237	3934
238	3721
239	3708
240	3691
241	3696
242	3573
243	3685
244	3487
245	3520
246	3398
247	3452
248	3415
249	3388
250	663924

