## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	46.35803	13.885646	48	6	0	0.046584	0.011314	0.000049	0.020387	0.012788	0.012111	0.103232	0.97007	0.967129	0.964475	0.961563	0.957742	0.951935	0.940685	0.819882	0.40662	0.076966	0.008848	0.003905	0.003134	0.002537	1.158951	1.324515	1.783001	0.968537	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	86715956
1	3139658
2	2050899
3	1730461
4	1599367
5	1546798
6	1521273
7	1525596
8	1538628
9	1557835
10	1583920
11	1618784
12	1675428
13	1738440
14	1821533
15	1919818
16	2043589
17	2192052
18	2362073
19	2553309
20	2767127
21	3022639
22	3309373
23	3651719
24	4073963
25	4603300
26	5298512
27	6212009
28	7427515
29	9051294
30	11186599
31	13962758
32	17515294
33	21996143
34	27473418
35	34082406
36	41805371
37	50623023
38	60397223
39	70963985
40	81981979
41	93124284
42	103925183
43	114008195
44	122897671
45	130162329
46	135483447
47	138558535
48	139383891
49	137820180
50	134089106
51	128313269
52	120857565
53	112009966
54	102245582
55	91933975
56	81450996
57	71111001
58	61189786
59	51910907
60	43433675
61	35853800
62	29223398
63	23525318
64	18704714
65	14705500
66	11414490
67	8779801
68	6678010
69	5038406
70	3778409
71	2819739
72	2098967
73	1563716
74	1170209
75	886724
76	680411
77	534572
78	432136
79	357573
80	306380
81	270605
82	244441
83	226083
84	213701
85	204608
86	198095
87	194339
88	189491
89	187175
90	184376
91	182519
92	179947
93	176772
94	174721
95	171806
96	169177
97	166761
98	162580
99	158614
100	153405
101	149082
102	145265
103	141175
104	135821
105	130286
106	124947
107	120202
108	115915
109	111139
110	106433
111	102211
112	97153
113	93660
114	89601
115	85877
116	82976
117	79903
118	75727
119	74026
120	71057
121	68784
122	67130
123	65063
124	64365
125	62780
126	60977
127	60314
128	59011
129	58308
130	57401
131	57144
132	55988
133	55781
134	54924
135	54383
136	54547
137	54118
138	54496
139	53404
140	52844
141	52515
142	51942
143	51494
144	51153
145	50376
146	49245
147	48769
148	47917
149	47172
150	45944
151	45172
152	44627
153	42911
154	41996
155	40826
156	39617
157	38759
158	37573
159	36452
160	35493
161	34748
162	33582
163	32643
164	32270
165	31069
166	30086
167	29104
168	28496
169	27668
170	26554
171	26278
172	25319
173	24824
174	24444
175	23746
176	22857
177	22131
178	21930
179	21583
180	21063
181	20480
182	20236
183	20327
184	19612
185	19727
186	19396
187	19054
188	18854
189	18890
190	18406
191	18224
192	18176
193	17679
194	17464
195	17661
196	17205
197	17107
198	16903
199	16942
200	16937
201	17173
202	16612
203	16733
204	16385
205	16678
206	16620
207	16412
208	16216
209	16235
210	16087
211	15877
212	15744
213	15480
214	15792
215	15550
216	15593
217	15696
218	15520
219	15459
220	15335
221	15281
222	15211
223	15052
224	15138
225	15123
226	15024
227	15188
228	15100
229	14788
230	14956
231	14791
232	14944
233	14815
234	14854
235	14645
236	14458
237	14376
238	14200
239	14175
240	14157
241	13984
242	13941
243	13748
244	13478
245	13442
246	13410
247	13210
248	12881
249	12855
250	1346095

