## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
69076545	179.846451	77.699192	208	42	0	0.012471	0.086097	0.000238	0.050047	0.032226	0.315298	0.496377	0.982012	0.974498	0.969614	0.965534	0.961514	0.957256	0.952361	0.940104	0.924376	0.905227	0.883015	0.858199	0.831519	0.803581	1.780658	2.900749	5.620202	0.978176	17

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	1242538
1	197295
2	130324
3	102556
4	88849
5	77654
6	70375
7	67005
8	62568
9	59793
10	57535
11	56963
12	56108
13	55809
14	55394
15	54410
16	55318
17	56174
18	55753
19	56050
20	56161
21	57167
22	58859
23	60377
24	61607
25	63618
26	65729
27	67485
28	69335
29	71928
30	73739
31	76845
32	79397
33	81022
34	83605
35	85906
36	87936
37	89589
38	93205
39	95399
40	97489
41	99740
42	102603
43	105037
44	107725
45	109532
46	112801
47	115011
48	116844
49	119681
50	121532
51	124642
52	126515
53	128410
54	130248
55	133584
56	135675
57	137999
58	141124
59	143021
60	145869
61	147200
62	148172
63	151597
64	152101
65	154329
66	155531
67	157804
68	159553
69	162160
70	164112
71	165645
72	167682
73	168735
74	171223
75	172837
76	173513
77	175223
78	177465
79	177777
80	178601
81	181075
82	181441
83	182454
84	184251
85	185216
86	186554
87	186439
88	188483
89	188481
90	188451
91	190545
92	190800
93	191799
94	192788
95	193166
96	193942
97	196080
98	196140
99	196147
100	197664
101	197701
102	197991
103	198986
104	199838
105	201082
106	200717
107	201960
108	202250
109	202832
110	202646
111	203657
112	204909
113	204935
114	205024
115	205608
116	206271
117	205604
118	206639
119	206479
120	206738
121	207240
122	207441
123	207391
124	208099
125	207297
126	206759
127	207381
128	207930
129	207983
130	207937
131	207322
132	206730
133	207170
134	205908
135	206938
136	205538
137	206579
138	205326
139	205322
140	205250
141	205729
142	204845
143	204081
144	204028
145	203519
146	202941
147	202124
148	201375
149	200611
150	201840
151	201458
152	200574
153	200463
154	199492
155	199041
156	198896
157	198840
158	197779
159	197718
160	196674
161	196666
162	195554
163	194868
164	194677
165	193445
166	193574
167	192243
168	192413
169	191070
170	189963
171	189328
172	190438
173	188816
174	188526
175	186938
176	186571
177	185603
178	185309
179	185311
180	184412
181	183665
182	183360
183	183079
184	181122
185	181324
186	180189
187	179948
188	179240
189	177992
190	177849
191	176561
192	175853
193	175372
194	173840
195	173066
196	172599
197	171449
198	170510
199	169101
200	169228
201	168420
202	168111
203	166531
204	165851
205	165779
206	164751
207	164317
208	163759
209	162225
210	161827
211	161169
212	160948
213	159560
214	158517
215	158786
216	157183
217	156642
218	155833
219	155631
220	153765
221	154381
222	152514
223	152905
224	151538
225	150702
226	150000
227	149211
228	147781
229	147386
230	146186
231	145928
232	144690
233	144555
234	143977
235	142440
236	142617
237	141491
238	140372
239	139695
240	138458
241	138238
242	137335
243	136658
244	135772
245	134975
246	134327
247	133488
248	132834
249	131996
250	28376344

