## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	29.707912	10.184801	30	5	0	0.051063	0.017766	0.000058	0.009977	0.000995	0.009256	0.089116	0.969494	0.963703	0.957939	0.948048	0.913303	0.792258	0.54671	0.096068	0.007084	0.002607	0.001907	0.00149	0.001212	0.001003	1.23783	1.485396	2.121994	0.966529	15

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	88386076
1	5555188
2	4198470
3	3652858
4	3370926
5	3229974
6	3182052
7	3256328
8	3389568
9	3643674
10	4027261
11	4574305
12	5372206
13	6512747
14	8168765
15	10552744
16	13926901
17	18554718
18	24797816
19	32834386
20	42864999
21	54895849
22	68759937
23	84064213
24	100120260
25	116241677
26	131512375
27	144896658
28	155681308
29	163097472
30	166691612
31	166336562
32	162094793
33	154424562
34	143848270
35	131129768
36	117080289
37	102374707
38	87810050
39	73860527
40	60946096
41	49400916
42	39314096
43	30770295
44	23700237
45	17962575
46	13430724
47	9890629
48	7205201
49	5190974
50	3715723
51	2645142
52	1885892
53	1352181
54	981663
55	726894
56	555698
57	439529
58	360864
59	308904
60	272296
61	247112
62	228511
63	214384
64	202198
65	190665
66	181677
67	171478
68	163976
69	156199
70	148497
71	142023
72	135943
73	128226
74	122515
75	115912
76	110955
77	105588
78	101573
79	97187
80	93880
81	90545
82	87014
83	84649
84	81007
85	78140
86	75880
87	72978
88	70724
89	69274
90	67000
91	65814
92	64372
93	63006
94	61385
95	60018
96	58135
97	56944
98	55638
99	54145
100	52432
101	51100
102	49279
103	47935
104	46405
105	44801
106	43132
107	41805
108	40426
109	39464
110	38529
111	37452
112	36113
113	35187
114	34512
115	33647
116	32719
117	31751
118	31106
119	30492
120	29626
121	29065
122	28522
123	27728
124	26885
125	26018
126	25964
127	25247
128	25124
129	24587
130	24038
131	23371
132	23201
133	22890
134	22752
135	22301
136	22163
137	22110
138	21363
139	21441
140	21281
141	20964
142	20783
143	20719
144	20505
145	19858
146	20111
147	19644
148	19634
149	19347
150	19014
151	18959
152	18890
153	18663
154	18346
155	18221
156	18135
157	17333
158	17602
159	16995
160	17101
161	16680
162	16319
163	16260
164	15920
165	15618
166	15281
167	14965
168	14815
169	14402
170	14347
171	13953
172	13549
173	13294
174	13279
175	12850
176	12371
177	12077
178	11796
179	11456
180	11084
181	10927
182	10527
183	10416
184	10034
185	9765
186	9530
187	9295
188	8978
189	8755
190	8465
191	8223
192	8165
193	7863
194	7647
195	7701
196	7327
197	7054
198	6987
199	6531
200	6497
201	6169
202	6039
203	5983
204	5638
205	5720
206	5526
207	5622
208	5349
209	5193
210	5035
211	5098
212	4923
213	4834
214	4632
215	4592
216	4569
217	4374
218	4311
219	4276
220	4153
221	4150
222	3933
223	4031
224	3863
225	3897
226	3682
227	3779
228	3695
229	3599
230	3561
231	3518
232	3548
233	3388
234	3386
235	3419
236	3414
237	3369
238	3281
239	3317
240	3212
241	3197
242	3084
243	3134
244	3044
245	3099
246	3009
247	3002
248	2923
249	2939
250	558615

