## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
69076545	226.831627	54.368226	250	0	0	0.014722	0.367686	0.000018	0.015232	0.128574	0.281708	0.807941	0.986053	0.983124	0.980238	0.97807	0.976433	0.975061	0.973827	0.971363	0.96874	0.965882	0.962611	0.958827	0.954323	0.948931	1.012641	1.46343	2.314608	0.984477	18

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	963404
1	70668
2	46194
3	42422
4	43078
5	42382
6	42501
7	40912
8	37233
9	36301
10	34895
11	32084
12	29040
13	27750
14	25959
15	24432
16	23857
17	22542
18	21389
19	20852
20	20229
21	19599
22	18822
23	18416
24	17706
25	17407
26	17303
27	17124
28	16760
29	16710
30	16864
31	16940
32	16936
33	16809
34	16888
35	16849
36	16985
37	17219
38	17114
39	17558
40	17572
41	17507
42	17771
43	17781
44	17812
45	18085
46	18413
47	18749
48	18651
49	18851
50	18867
51	18811
52	19220
53	19353
54	19619
55	20038
56	20169
57	20159
58	20262
59	20935
60	21190
61	21399
62	22181
63	22195
64	22500
65	22621
66	23066
67	23238
68	23610
69	23946
70	24136
71	24385
72	25067
73	25754
74	25953
75	25864
76	26790
77	27136
78	27951
79	28332
80	28699
81	29460
82	29896
83	30472
84	30925
85	31323
86	31553
87	32339
88	32951
89	33538
90	34631
91	34876
92	35586
93	36359
94	36853
95	37526
96	37999
97	38669
98	39657
99	40307
100	40542
101	41500
102	42252
103	42667
104	43253
105	44490
106	45161
107	45469
108	46679
109	47908
110	48249
111	49154
112	49406
113	50219
114	50727
115	51679
116	52406
117	53801
118	53836
119	54923
120	55417
121	56823
122	57068
123	57701
124	59004
125	59388
126	60225
127	61293
128	62103
129	63148
130	63796
131	64591
132	65555
133	66202
134	67393
135	67436
136	68050
137	69164
138	69343
139	70244
140	70860
141	71584
142	72702
143	73360
144	74246
145	75144
146	75877
147	76612
148	77060
149	78116
150	78984
151	80441
152	80396
153	80618
154	81612
155	82628
156	82941
157	83782
158	84690
159	85125
160	86204
161	86807
162	86652
163	88129
164	88708
165	88834
166	89872
167	90091
168	90426
169	91021
170	91696
171	92282
172	92536
173	93719
174	94300
175	94638
176	95491
177	95157
178	95572
179	95645
180	96431
181	97168
182	98006
183	97964
184	97856
185	99049
186	99368
187	99492
188	100148
189	100331
190	100930
191	101003
192	101835
193	102530
194	102602
195	102948
196	103600
197	103219
198	103827
199	104808
200	104391
201	104960
202	104575
203	105388
204	105946
205	106477
206	106086
207	106837
208	106580
209	107029
210	108074
211	107516
212	107645
213	108187
214	108209
215	108299
216	108899
217	109432
218	109184
219	109370
220	109370
221	110023
222	110026
223	109859
224	109999
225	110106
226	110748
227	110882
228	111064
229	111070
230	110715
231	111413
232	111219
233	111514
234	111134
235	111097
236	111735
237	111996
238	111710
239	111745
240	112328
241	111931
242	112123
243	112080
244	112101
245	112157
246	112923
247	112151
248	112767
249	111702
250	52440144

