## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	8.581995	33.904492	1	1	0	0.021756	0.068829	0.000382	0.050971	0.029662	0.199478	0.371077	0.646437	0.128792	0.083584	0.070963	0.064003	0.059106	0.055206	0.048995	0.044038	0.039865	0.036266	0.033114	0.03034	0.027886	?	?	?	0.369834	2

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	1024383083
1	789457534
2	419944123
3	195866032
4	94509936
5	50928227
6	31123141
7	21176037
8	15593135
9	12159623
10	9865768
11	8228155
12	7017378
13	6089484
14	5368217
15	4804782
16	4341121
17	3966742
18	3656981
19	3395147
20	3167104
21	2980495
22	2813920
23	2674954
24	2550154
25	2437305
26	2340748
27	2254136
28	2169247
29	2099017
30	2034392
31	1968514
32	1913699
33	1861540
34	1811735
35	1765060
36	1717635
37	1678729
38	1640270
39	1602491
40	1567534
41	1533421
42	1503411
43	1475052
44	1445298
45	1417911
46	1393330
47	1366432
48	1341907
49	1318410
50	1295266
51	1274786
52	1254993
53	1235858
54	1217850
55	1198300
56	1180400
57	1160797
58	1145106
59	1128547
60	1113468
61	1096762
62	1079228
63	1063973
64	1047619
65	1032505
66	1017618
67	1003638
68	990580
69	979843
70	966221
71	953528
72	943636
73	929342
74	918108
75	909542
76	896144
77	882758
78	873414
79	861089
80	849285
81	840122
82	829299
83	819062
84	806922
85	799003
86	788092
87	778762
88	768531
89	758824
90	748339
91	740511
92	731692
93	722156
94	714822
95	705747
96	696392
97	691435
98	682985
99	673560
100	666463
101	659223
102	650958
103	643619
104	637305
105	629687
106	622972
107	615817
108	608775
109	601097
110	594986
111	588149
112	582429
113	575517
114	569781
115	562185
116	556996
117	550219
118	545192
119	538232
120	532685
121	527745
122	520834
123	515151
124	510316
125	505239
126	498112
127	493854
128	489355
129	482619
130	478330
131	473655
132	467361
133	462129
134	456999
135	453809
136	447339
137	443809
138	439274
139	433722
140	430146
141	426323
142	420483
143	415092
144	412394
145	407102
146	402029
147	398075
148	393808
149	388685
150	387045
151	381816
152	378852
153	374984
154	370598
155	367349
156	363956
157	361091
158	356311
159	353707
160	348977
161	345882
162	342770
163	339219
164	336957
165	332530
166	330059
167	326136
168	323281
169	319871
170	316417
171	313969
172	312199
173	308037
174	305639
175	301906
176	298662
177	295708
178	292846
179	291414
180	288174
181	285253
182	283302
183	281511
184	277312
185	275419
186	272714
187	270583
188	268513
189	266028
190	263790
191	260877
192	259169
193	257121
194	253733
195	251297
196	248779
197	247021
198	244181
199	241864
200	240350
201	238062
202	236599
203	234015
204	231559
205	230263
206	228375
207	226277
208	224597
209	222145
210	220390
211	219093
212	217478
213	215677
214	212596
215	212142
216	209686
217	208129
218	206061
219	205179
220	202100
221	201703
222	198839
223	198238
224	196227
225	194517
226	192663
227	191022
228	188884
229	187515
230	185616
231	184649
232	182992
233	181645
234	180281
235	178048
236	177922
237	176028
238	174087
239	172112
240	170936
241	169981
242	168585
243	167165
244	165854
245	164470
246	163019
247	161675
248	160889
249	159253
250	29859012

