## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	28.518518	11.282553	30	5	0	0.060441	0.01329	0.000015	0.009947	0.000905	0.007852	0.092451	0.935462	0.928114	0.921613	0.911274	0.877164	0.760368	0.524306	0.091697	0.006307	0.002054	0.00145	0.001097	0.000881	0.000737	1.239936	1.67756	?	0.931734	12

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	196418224
1	8089071
2	5518369
3	4606347
4	4149679
5	3914571
6	3815963
7	3863808
8	3976485
9	4215421
10	4588903
11	5133592
12	5928462
13	7075315
14	8740043
15	11139594
16	14522313
17	19171341
18	25446797
19	33532247
20	43637730
21	55744960
22	69701055
23	85104603
24	101274070
25	117498766
26	132867183
27	146320620
28	157160224
29	164597896
30	168185115
31	167790219
32	163482702
33	155725416
34	145048314
35	132206507
36	118030080
37	103197084
38	88513226
39	74446766
40	61434443
41	49795936
42	39627532
43	31016189
44	23890150
45	18110239
46	13540398
47	9972004
48	7262562
49	5229099
50	3740265
51	2659345
52	1891733
53	1351558
54	976995
55	719333
56	543875
57	425477
58	345899
59	290373
60	253654
61	226977
62	208653
63	193467
64	182135
65	171257
66	162703
67	153931
68	146988
69	139637
70	133435
71	127212
72	121320
73	114527
74	108951
75	103684
76	98869
77	93727
78	88811
79	83952
80	80462
81	76363
82	72885
83	69247
84	66709
85	63420
86	60103
87	57350
88	55093
89	53586
90	51040
91	49134
92	47098
93	45906
94	44651
95	42801
96	41592
97	40274
98	39131
99	37818
100	36754
101	35413
102	34252
103	33471
104	32635
105	31591
106	31290
107	30383
108	29969
109	29352
110	29008
111	28128
112	27704
113	26970
114	25799
115	25383
116	25045
117	24526
118	24223
119	23562
120	23176
121	22904
122	22453
123	21778
124	21338
125	21134
126	20946
127	20384
128	20153
129	19867
130	19483
131	18927
132	18884
133	18298
134	17917
135	17532
136	17252
137	16802
138	16392
139	16420
140	16284
141	15987
142	15705
143	15537
144	15418
145	14854
146	14708
147	14635
148	14040
149	13857
150	13448
151	13561
152	13375
153	13072
154	12687
155	12600
156	12538
157	12027
158	11990
159	11604
160	11220
161	11073
162	10473
163	10399
164	10413
165	9904
166	9661
167	9569
168	9522
169	9300
170	9094
171	8894
172	8726
173	8600
174	8277
175	8040
176	7828
177	7731
178	7417
179	7232
180	7155
181	7018
182	6765
183	6853
184	6596
185	6678
186	6449
187	6333
188	6324
189	6218
190	6064
191	6022
192	5888
193	5793
194	5540
195	5426
196	5385
197	5227
198	5208
199	5104
200	4773
201	4733
202	4621
203	4388
204	4466
205	4259
206	4179
207	4121
208	4070
209	3976
210	3869
211	3956
212	3741
213	3670
214	3660
215	3462
216	3412
217	3338
218	3228
219	3236
220	3205
221	3174
222	3060
223	3105
224	2839
225	2819
226	2699
227	2718
228	2717
229	2682
230	2590
231	2607
232	2639
233	2498
234	2441
235	2471
236	2465
237	2467
238	2343
239	2301
240	2331
241	2253
242	2218
243	2265
244	2197
245	2188
246	2074
247	2071
248	2069
249	2095
250	526920

