## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
2897310462	14.748931	42.926595	4	2	0	0.028129	0.304867	0.000092	0.017435	0.132487	0.190159	0.673169	0.939867	0.490261	0.17087	0.104372	0.082868	0.072362	0.065951	0.058103	0.053132	0.049457	0.04652	0.044059	0.041927	0.040036	7.374466	14.748931	?	0.740673	6

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	174222945
1	215491866
2	333137373
3	385982126
4	368039022
5	307415138
6	235702063
7	172018256
8	122755382
9	87482434
10	63020743
11	46352712
12	34927713
13	26995676
14	21368665
15	17265905
16	14213829
17	11936012
18	10145287
19	8743727
20	7630388
21	6713664
22	5951065
23	5331732
24	4812961
25	4370961
26	3991104
27	3670576
28	3395138
29	3144159
30	2928029
31	2739208
32	2567850
33	2419953
34	2284435
35	2165128
36	2048739
37	1951096
38	1857572
39	1776221
40	1693393
41	1624726
42	1562359
43	1502216
44	1449475
45	1397686
46	1353871
47	1314517
48	1271138
49	1233879
50	1196105
51	1165076
52	1131218
53	1102988
54	1072075
55	1046662
56	1020376
57	993864
58	970850
59	948599
60	927753
61	908756
62	890833
63	873757
64	856398
65	841542
66	826034
67	810939
68	792676
69	780662
70	766212
71	753600
72	740865
73	728803
74	716230
75	706704
76	695667
77	682210
78	673691
79	665352
80	654207
81	646272
82	637553
83	629664
84	620656
85	612666
86	605103
87	598152
88	590803
89	583824
90	577917
91	569403
92	561919
93	556555
94	550900
95	544952
96	537545
97	531840
98	526035
99	521788
100	514855
101	510013
102	503973
103	499714
104	493941
105	489537
106	486133
107	481435
108	477568
109	474282
110	468474
111	464872
112	460797
113	457893
114	453752
115	450369
116	446351
117	442747
118	439417
119	434929
120	431704
121	428746
122	425102
123	422014
124	419440
125	416463
126	412947
127	410214
128	407880
129	403073
130	401172
131	398610
132	396319
133	393486
134	390928
135	387400
136	386568
137	383789
138	380643
139	377657
140	375925
141	374004
142	371622
143	369248
144	367600
145	364202
146	362294
147	359553
148	358522
149	354963
150	354234
151	352692
152	350107
153	346498
154	344654
155	343655
156	342401
157	340867
158	339006
159	337039
160	335326
161	333141
162	330684
163	329751
164	328159
165	326979
166	324763
167	322525
168	320829
169	320026
170	317832
171	315979
172	314585
173	313921
174	312548
175	310763
176	310202
177	306371
178	305415
179	303508
180	302697
181	301712
182	300405
183	298501
184	296615
185	295756
186	294752
187	293141
188	292451
189	290437
190	289339
191	288100
192	286251
193	284803
194	285026
195	282563
196	281558
197	279982
198	279482
199	278159
200	275950
201	274773
202	273438
203	271796
204	272020
205	271487
206	268801
207	268147
208	264747
209	264950
210	264567
211	263609
212	262135
213	260420
214	259365
215	259412
216	258707
217	258503
218	256192
219	254634
220	254545
221	254033
222	252395
223	250476
224	249164
225	248202
226	247844
227	247052
228	246241
229	244797
230	243517
231	242989
232	241464
233	241300
234	238815
235	238395
236	237643
237	237111
238	235699
239	234474
240	234597
241	232532
242	232394
243	231405
244	230134
245	229021
246	228898
247	227098
248	226771
249	225008
250	66689101

