## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	44.576392	16.026703	47	6	0	0.055257	0.006768	0.00002	0.020325	0.012622	0.00975	0.104741	0.937243	0.932681	0.929401	0.92607	0.921879	0.915763	0.904468	0.78762	0.390299	0.073719	0.008257	0.003453	0.002718	0.002191	1.142984	1.437948	?	0.934899	12

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	190997883
1	5601071
2	3346321
3	2624923
4	2312486
5	2125906
6	2024839
7	1967523
8	1937911
9	1927316
10	1937796
11	1963650
12	2010854
13	2074256
14	2151064
15	2252771
16	2377044
17	2525436
18	2704569
19	2894134
20	3117944
21	3379896
22	3669643
23	4014142
24	4433324
25	4966815
26	5655095
27	6561113
28	7779624
29	9410830
30	11558241
31	14353385
32	17930356
33	22450175
34	27975237
35	34637758
36	42424465
37	51311000
38	61164832
39	71818284
40	82922330
41	94149207
42	105026084
43	115179562
44	124120953
45	131432336
46	136777221
47	139861875
48	140678977
49	139077494
50	135297701
51	129458653
52	121923182
53	112997052
54	103135788
55	92731545
56	82152858
57	71722547
58	61717933
59	52361448
60	43815524
61	36173791
62	29487746
63	23742689
64	18881001
65	14850131
66	11532646
67	8878186
68	6759730
69	5106351
70	3835884
71	2867950
72	2138998
73	1598619
74	1200510
75	910985
76	700077
77	551360
78	446606
79	369554
80	314261
81	277051
82	249010
83	228259
84	215149
85	204420
86	196140
87	189993
88	184055
89	180118
90	176270
91	172591
92	168488
93	165449
94	162370
95	158952
96	155633
97	151459
98	148842
99	143833
100	139785
101	137072
102	132947
103	130113
104	125580
105	122292
106	117851
107	113835
108	111077
109	106793
110	103206
111	100025
112	96075
113	92625
114	89150
115	86097
116	83560
117	80366
118	77476
119	74947
120	72764
121	70483
122	68072
123	64995
124	63627
125	61619
126	60016
127	58635
128	57018
129	55606
130	53898
131	53015
132	51280
133	49886
134	48368
135	47393
136	46121
137	45183
138	44530
139	43112
140	42366
141	41521
142	41120
143	40230
144	39567
145	39202
146	37711
147	37768
148	36642
149	36084
150	35451
151	34538
152	34060
153	32960
154	32595
155	32116
156	31375
157	30691
158	29652
159	29370
160	28388
161	27600
162	27430
163	26739
164	26302
165	26052
166	25590
167	24792
168	24391
169	24102
170	23620
171	23280
172	23209
173	22567
174	22391
175	21859
176	21325
177	21014
178	20650
179	20198
180	20042
181	19761
182	19649
183	19279
184	18944
185	18511
186	18419
187	18105
188	17751
189	17235
190	17345
191	16920
192	16666
193	16077
194	16296
195	16128
196	16205
197	15970
198	15712
199	15635
200	15214
201	15493
202	15474
203	15215
204	14768
205	14887
206	14721
207	14541
208	14381
209	14531
210	14176
211	14197
212	14015
213	14128
214	13477
215	13726
216	13575
217	13579
218	13514
219	13209
220	13079
221	12676
222	13013
223	12857
224	12797
225	12631
226	12621
227	12323
228	12231
229	12208
230	12219
231	12104
232	12031
233	11920
234	12033
235	11762
236	11755
237	11163
238	11307
239	11007
240	11051
241	10696
242	10764
243	10325
244	10321
245	10207
246	10231
247	10111
248	9661
249	9770
250	1250867

